,TeamName,Setups,High-LastIndex,Delays
0,aneesha,41,1707,114
1,aneesha,34,263,211
2,aneesha,40,661,149
3,aneesha,18,0,536
4,aneesha,13,1597,608
5,aneesha,18,1141,460
6,aneesha,29,393,266
7,aneesha,32,959,141
8,aneesha,14,1595,609
9,aneesha,25,0,352
10,aneesha,20,1298,367
11,aneesha,11,2603,479
12,aneesha,34,878,141
13,aneesha,15,1335,523
14,aneesha,36,804,146
15,aneesha,31,533,184
16,aneesha,14,1943,487
17,aneesha,29,0,287
18,aneesha,18,2239,343
19,aneesha,17,993,558
20,aneesha,33,263,247
21,aneesha,43,385,124
22,aneesha,14,1831,549
23,aneesha,40,63,189
24,aneesha,27,735,174
25,aneesha,35,2508,98
26,aneesha,13,1927,559
27,aneesha,38,0,203
28,aneesha,11,2592,539
29,aneesha,33,360,202
30,aneesha,18,1108,490
31,aneesha,33,405,174
32,aneesha,17,851,574
33,aneesha,29,407,230
34,aneesha,39,71,194
35,aneesha,14,1273,620
36,aneesha,25,944,256
37,aneesha,26,838,210
38,aneesha,34,569,160
39,aneesha,38,2382,126
40,aneesha,31,283,262
41,aneesha,15,1457,507
42,aneesha,45,8,177
43,aneesha,38,963,128
44,aneesha,34,871,151
45,aneesha,20,1270,374
46,aneesha,26,626,236
47,aneesha,16,1949,464
48,aneesha,17,1195,482
49,aneesha,14,1857,515
50,aneesha,18,1388,367
51,aneesha,39,544,151
52,aneesha,30,407,200
53,aneesha,24,666,329
54,aneesha,47,359,134
55,aneesha,19,771,503
56,aneesha,32,878,170
57,aneesha,31,0,264
58,aneesha,25,663,339
59,aneesha,29,280,273
60,aneesha,35,789,148
61,aneesha,32,345,211
62,aneesha,48,55,171
63,aneesha,16,2515,431
64,aneesha,44,226,151
65,aneesha,18,1697,358
66,aneesha,34,196,246
67,aneesha,20,1372,327
68,aneesha,15,1908,487
69,aneesha,35,59,261
70,aneesha,36,196,233
71,aneesha,34,360,174
72,aneesha,13,1961,549
73,aneesha,37,1980,132
74,aneesha,35,2457,111
75,aneesha,16,1914,482
76,aneesha,20,1348,356
77,aneesha,37,199,209
78,aneesha,20,0,513
79,aneesha,13,1970,487
80,aneesha,17,1315,419
81,aneesha,28,157,333
82,aneesha,47,0,176
83,aneesha,33,954,151
84,aneesha,22,594,351
85,aneesha,18,1315,374
86,aneesha,21,1052,375
87,aneesha,26,438,279
88,aneesha,22,1600,318
89,aneesha,39,498,159
90,aneesha,45,1654,114
91,aneesha,37,2431,126
92,aneesha,21,1165,335
93,aneesha,30,657,184
94,aneesha,46,351,148
95,aneesha,42,317,150
96,aneesha,18,1026,503
97,aneesha,11,2668,435
98,aneesha,41,409,148
99,aneesha,13,1521,708
100,aneesha,15,1976,464
101,aneesha,33,280,243
102,aneesha,20,763,472
103,aneesha,20,787,454
104,aneesha,37,0,235
105,aneesha,36,201,192
106,aneesha,28,183,302
107,aneesha,15,0,627
108,aneesha,25,707,326
109,aneesha,11,2344,625
110,aneesha,28,393,279
111,aneesha,13,1860,595
112,aneesha,41,0,189
113,aneesha,28,407,245
114,aneesha,19,1522,359
115,aneesha,39,2455,111
116,aneesha,23,535,354
117,aneesha,35,201,225
118,aneesha,25,941,262
119,aneesha,26,935,174
120,aneesha,11,2487,610
121,aneesha,27,393,289
122,aneesha,43,44,186
123,aneesha,14,0,660
124,aneesha,45,63,176
125,aneesha,25,777,285
126,aneesha,31,623,174
127,aneesha,45,362,134
128,aneesha,21,909,439
129,aneesha,40,687,146
130,aneesha,17,1150,527
131,aneesha,39,2427,123
132,aneesha,25,901,272
133,aneesha,26,368,332
134,aneesha,32,424,184
135,aneesha,17,859,564
136,aneesha,19,1524,334
137,aneesha,31,361,242
138,aneesha,16,1455,485
139,aneesha,16,1419,521
140,aneesha,16,0,581
141,aneesha,15,2605,418
142,aneesha,40,71,171
143,aneesha,24,1562,307
144,aneesha,9,2680,479
145,aneesha,39,107,171
146,aneesha,28,717,184
147,aneesha,32,272,255
148,aneesha,32,947,166
149,aneesha,39,63,200
150,aneesha,32,491,174
151,aneesha,27,257,344
152,aneesha,16,1933,477
153,aneesha,24,2681,292
154,aneesha,38,746,146
155,aneesha,38,738,159
156,aneesha,19,1358,372
157,aneesha,18,1199,419
158,aneesha,40,0,202
159,aneesha,41,1647,124
160,aneesha,17,1079,532
161,aneesha,19,0,515
162,aneesha,24,475,351
163,aneesha,15,1079,558
164,aneesha,25,960,236
165,aneesha,42,385,134
166,aneesha,22,1348,327
167,aneesha,28,452,200
168,aneesha,21,0,452
169,aneesha,32,322,248
170,aneesha,15,1150,532
171,aneesha,35,225,209
172,aneesha,35,347,205
173,aneesha,49,5,159
174,aneesha,27,407,246
175,aneesha,13,1544,700
176,aneesha,34,853,159
177,aneesha,17,1360,374
178,aneesha,14,1657,605
179,aneesha,23,1165,319
180,aneesha,24,0,385
181,aneesha,17,1298,464
182,aneesha,28,219,294
183,aneesha,26,393,307
184,aneesha,39,687,149
185,aneesha,19,996,431
186,aneesha,41,191,165
187,aneesha,40,389,159
188,aneesha,22,0,422
189,aneesha,19,1125,375
