,TeamName,Setups,High-LastIndex,Delays
0,aneesha,52,1949,226
1,aneesha,15,2230,534
2,aneesha,22,1709,493
3,aneesha,14,2238,609
4,aneesha,41,133,264
5,aneesha,12,1872,754
6,aneesha,54,734,255
7,aneesha,12,2095,717
8,aneesha,17,0,666
9,aneesha,13,2128,661
10,aneesha,21,0,605
11,aneesha,27,1342,332
12,aneesha,41,85,281
13,aneesha,13,1872,739
14,aneesha,61,1958,196
15,aneesha,24,820,416
16,aneesha,53,745,255
17,aneesha,30,2386,292
18,aneesha,13,1887,716
19,aneesha,14,2066,701
20,aneesha,33,2463,281
21,aneesha,14,330,729
22,aneesha,25,2719,338
23,aneesha,12,1782,896
24,aneesha,51,1996,227
25,aneesha,11,1881,825
26,aneesha,59,1932,207
27,aneesha,61,1674,231
28,aneesha,29,0,314
29,aneesha,24,1018,350
30,aneesha,63,1924,213
31,aneesha,15,2105,581
32,aneesha,26,2529,312
33,aneesha,60,1917,222
34,aneesha,54,2042,190
35,aneesha,18,2086,513
36,aneesha,19,17,631
37,aneesha,16,314,644
38,aneesha,42,88,264
39,aneesha,39,119,281
40,aneesha,19,0,648
41,aneesha,22,1586,503
42,aneesha,13,1798,792
43,aneesha,16,1243,554
44,aneesha,16,1219,571
45,aneesha,24,1342,341
46,aneesha,14,2164,636
47,aneesha,13,1790,848
48,aneesha,16,255,674
49,aneesha,59,2427,171
50,aneesha,64,1674,216
51,aneesha,20,1047,576
52,aneesha,26,0,384
53,aneesha,16,271,663
54,aneesha,17,1219,535
55,aneesha,10,2255,912
56,aneesha,21,116,587
57,aneesha,35,780,286
58,aneesha,34,0,294
59,aneesha,44,0,286
60,aneesha,11,1887,739
61,aneesha,14,0,1201
62,aneesha,15,330,620
63,aneesha,54,2140,175
64,aneesha,14,2202,623
65,aneesha,55,1939,208
66,aneesha,17,2151,534
67,aneesha,21,183,574
68,aneesha,28,0,330
69,aneesha,14,2092,644
70,aneesha,12,1579,899
71,aneesha,12,1790,859
72,aneesha,17,271,620
73,aneesha,25,0,453
74,aneesha,24,856,367
75,aneesha,57,2032,191
76,aneesha,22,1044,547
77,aneesha,62,1864,230
78,aneesha,38,83,292
79,aneesha,20,114,604
80,aneesha,18,774,592
81,aneesha,21,2376,503
82,aneesha,15,314,674
83,aneesha,19,1214,581
84,aneesha,64,1835,213
85,aneesha,23,1044,442
86,aneesha,33,0,312
87,aneesha,13,1777,873
88,aneesha,22,1747,455
89,aneesha,36,200,268
90,aneesha,10,2260,815
91,aneesha,65,1835,201
92,aneesha,26,919,350
93,aneesha,26,1244,341
94,aneesha,31,2488,256
95,aneesha,28,2488,326
96,aneesha,22,36,604
97,aneesha,44,1637,260
98,aneesha,33,892,300
99,aneesha,40,117,266
100,aneesha,28,2500,312
101,aneesha,12,1798,813
102,aneesha,33,1298,294
103,aneesha,61,2055,186
104,aneesha,37,1328,266
105,aneesha,34,880,274
106,aneesha,14,2230,616
107,aneesha,19,536,617
108,aneesha,65,1822,213
109,aneesha,23,0,460
110,aneesha,63,1672,231
111,aneesha,16,0,676
112,aneesha,15,2164,554
113,aneesha,15,0,696
114,aneesha,23,1032,456
115,aneesha,50,808,237
116,aneesha,10,2283,781
117,aneesha,18,195,651
118,aneesha,36,183,285
119,aneesha,24,919,363
120,aneesha,12,1505,973
121,aneesha,45,0,259
122,aneesha,56,717,255
123,aneesha,42,1701,260
124,aneesha,12,2205,643
125,aneesha,55,2171,173
126,aneesha,18,255,623
127,aneesha,63,1940,196
128,aneesha,20,2461,501
129,aneesha,30,2488,270
130,aneesha,38,181,266
131,aneesha,55,2094,175
132,aneesha,13,1390,1047
133,aneesha,21,1023,548
134,aneesha,53,2168,190
135,aneesha,53,2183,175
136,aneesha,54,1965,222
137,aneesha,63,1717,216
138,aneesha,65,1672,216
139,aneesha,51,2183,190
140,aneesha,62,1917,220
,,30.61702128,1303.29078,456.5886525
